Sample ID,Phylum,Class,Order,Family,Subfamily,Tribe,Genus,Species,Subspecies,Identifier,Identifier Email,Identification Method,Taxonomy Notes
DNSC_2018_003A,Chordata,Actinopterygii,Labriformes,Labridae,,,Xiphocheilus,Xiphocheilus typus,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,Choerodon typus
DNSC_2018_004A,Chordata,Actinopterygii,Perciformes,Mullidae,,,Parupeneus,Parupeneus crassilabris,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_019A,Chordata,Actinopterygii,Labriformes,Labridae,,,Xiphocheilus,Xiphocheilus typus,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,Choerodon typus
DNSC_2018_023A,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,,Pomacanthus,Pomacanthus imperator,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_038A,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,,,Balistoides,Balistoides conspicillum,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_039A,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelinae,,Epinephelus,Epinephelus lanceolatus,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_042A,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelinae,,Plectropomus,Plectropomus laevis,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_059A,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,,Hemitaurichthys,Hemitaurichthys polylepis,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_061A,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,,Chaetodon,Chaetodon meyeri,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_062A,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,,Chaetodon,Chaetodon trifascialis,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_064A,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,,Chaetodon,Chaetodon lunulatus,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_065A,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,,Heniochus,Heniochus chrysostomus,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_072A,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,,Centropyge,Centropyge bicolor,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_074A,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,,Chaetodon,Chaetodon melannotus,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_081A,Chordata,Actinopterygii,Perciformes,Malacanthidae,Malacanthinae,,Malacanthus,Malacanthus brevirostris,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_088A,Chordata,Actinopterygii,Labriformes,Labridae,,,Gomphosus,Gomphosus varius,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_095A,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjaninae,,Lutjanus,Lutjanus dodecacanthoides,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_100A,Chordata,Actinopterygii,Kurtiformes,Apogonidae,Apogoninae,,Sphaeramia,Sphaeramia nematoptera,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_101A,Chordata,Actinopterygii,Ovalentaria,Pomacentridae,Pomacentrinae,,Dischistodus,Dischistodus perspicillatus,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_103A,Chordata,Actinopterygii,Labriformes,Labridae,,,Bodianus,Bodianus dictynna,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_115A,Chordata,Actinopterygii,Perciformes,Haemulidae,Haemulinae,,Pomadasys,Pomadasys argenteus,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_116A,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,,Chelmon,Chelmon rostratus,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_120A,Chordata,Actinopterygii,Perciformes,Pomacanthidae,,,Centropyge,Centropyge vrolikii,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_NN_001A,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelinae,,Epinephelus,Epinephelus coeruleopunctatus,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_2018_NN_002A,Chordata,Actinopterygii,Labriformes,Labridae,,,Cheilinus,Cheilinus undulatus,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_ND_003A,Chordata,Actinopterygii,Labriformes,Labridae,,,Novaculoides,Novaculoides macrolepidotus,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,Novaculichthys macrolepidotus
DNSC_ND_005A,Chordata,Actinopterygii,Labriformes,Labridae,,,Macropharyngodon,Macropharyngodon meleagris,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_ND_006A,Chordata,Actinopterygii,Labriformes,Labridae,,,Labropsis,Labropsis manabei,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_ND_008A,Chordata,Actinopterygii,Labriformes,Labridae,,,Thalassoma,Thalassoma amblycephalum,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
DNSC_ND_012A,Chordata,Actinopterygii,Labriformes,Labridae,,,Thalassoma,Thalassoma jansenii,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_ND_014A,Chordata,Actinopterygii,Labriformes,Labridae,,,Hologymnosus,Hologymnosus annulatus,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
DNSC_ND_040A,Chordata,Actinopterygii,Holocentriformes,Holocentridae,Holocentrinae,,Sargocentron,Sargocentron rubrum,,Girley S. Gumanao,girley.gumanao@dnsc.edu.ph,,
FDP_GOVG_2202_001A,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjaninae,,Lutjanus,Lutjanus gibbus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_002A,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,,Heniochus,Heniochus varius,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_003A,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,,Coradion,Coradion chrysozonus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_004A,Chordata,Actinopterygii,Perciformes,Chaetodontidae,,,Chaetodon,Chaetodon unimaculatus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_005A,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Nasinae,,Naso,Naso brevirostris,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_007A,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Nasinae,,Naso,Naso minor,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_009A,Chordata,Actinopterygii,Holocentriformes,Holocentridae,Myripristinae,,Myripristis,Myripristis adusta,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_010A,Chordata,Actinopterygii,Holocentriformes,Holocentridae,Myripristinae,,Myripristis,Myripristis violacea,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_011A,Chordata,Actinopterygii,Holocentriformes,Holocentridae,Myripristinae,,Myripristis,Myripristis berndti,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_015A,Chordata,Actinopterygii,Perciformes,Haemulidae,Plectorhinchinae,,Diagramma,Diagramma melanacrum,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_016A,Chordata,Actinopterygii,Perciformes,Haemulidae,Plectorhinchinae,,Diagramma,Diagramma pictum,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_017A,Chordata,Actinopterygii,Perciformes,Lutjanidae,Etelinae,,Aphareus,Aphareus rutilans,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_018A,Chordata,Actinopterygii,Perciformes,Lutjanidae,Etelinae,,Aprion,Aprion virescens,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_020A,Chordata,Actinopterygii,Spariformes,Nemipteridae,,,Scolopsis,Scolopsis taenioptera,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_021A,Chordata,Actinopterygii,Spariformes,Nemipteridae,,,Scolopsis,Scolopsis affinis,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_022A,Chordata,Actinopterygii,Spariformes,Nemipteridae,,,Nemipterus,Nemipterus peronii,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_022B,Chordata,Actinopterygii,Spariformes,Nemipteridae,,,Nemipterus,Nemipterus peronii,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_023A,Chordata,Actinopterygii,Holocentriformes,Holocentridae,Myripristinae,,Myripristis,Myripristis berndti,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_024A,Chordata,Actinopterygii,Perciformes,Priacanthidae,,,Heteropriacanthus,Heteropriacanthus cruentatus,,Joemarie J Lanutan,jjlanutan@up.edu.ph,,
FDP_GOVG_2202_025A,Chordata,Actinopterygii,Perciformes,Priacanthidae,,,Priacanthus,Priacanthus blochii,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_026A,Chordata,Actinopterygii,Perciformes,Mullidae,,,Mulloidichthys,Mulloidichthys flavolineatus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_027A,Chordata,Actinopterygii,Perciformes,Mullidae,,,Upeneus,Upeneus vittatus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_029A,Chordata,Actinopterygii,Perciformes,Mullidae,,,Parupeneus,Parupeneus heptacanthus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_030A,Chordata,Actinopterygii,Perciformes,Priacanthidae,,,Priacanthus,Priacanthus blochii,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_031A,Chordata,Actinopterygii,Perciformes,Priacanthidae,,,Heteropriacanthus,Heteropriacanthus cruentatus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_032A,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjaninae,,Lutjanus,Lutjanus bohar,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_034A,Chordata,Actinopterygii,Perciformes,Siganidae,,,Siganus,Siganus punctatus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_035A,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelinae,,Cephalopholis,Cephalopholis cyanostigma,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_037A,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelinae,,Epinephelus,Epinephelus bontoides,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_038A,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelinae,,Variola,Variola louti,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_039A,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelinae,,Epinephelus,Epinephelus polyphekadion,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_040A,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,,,Balistoides,Balistoides viridescens,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_042A,Chordata,Actinopterygii,Spariformes,Lethrinidae,,,Lethrinus,Lethrinus atkinsoni,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_043A,Chordata,Actinopterygii,Spariformes,Lethrinidae,,,Gymnocranius,Gymnocranius elongatus,,Joemarie J Lanutan,jjlanutan@up.edu.ph,,
FDP_GOVG_2202_044A,Chordata,Actinopterygii,Spariformes,Lethrinidae,,,Lethrinus,Lethrinus semicinctus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_046A,Chordata,Actinopterygii,Spariformes,Lethrinidae,,,Lethrinus,Lethrinus obsoletus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_047A,Chordata,Actinopterygii,Spariformes,Lethrinidae,,,Lethrinus,Lethrinus reticulatus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2202_048A,Chordata,Actinopterygii,Spariformes,Lethrinidae,,,Lethrinus,Lethrinus olivaceus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2204_002A,Chordata,Actinopterygii,Perciformes,Haemulidae,Plectorhinchinae,,Plectorhinchus,Plectorhinchus chaetodonoides,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2204_003A,Chordata,Actinopterygii,Spariformes,Lethrinidae,,,Lethrinus,Lethrinus erythracanthus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2204_004A,Chordata,Actinopterygii,Holocentriformes,Holocentridae,Holocentrinae,,Sargocentron,Sargocentron caudimaculatum,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2204_005A,Chordata,Actinopterygii,Holocentriformes,Holocentridae,Myripristinae,,Myripristis,Myripristis hexagona,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2204_007A,Chordata,Actinopterygii,Holocentriformes,Holocentridae,Myripristinae,,Myripristis,Myripristis adusta,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2204_010A,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelinae,,Cephalopholis,Cephalopholis aitha,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2204_012A,Chordata,Actinopterygii,Perciformes,Siganidae,,,Siganus,Siganus doliatus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2204_013A,Chordata,Actinopterygii,Perciformes,Siganidae,,,Siganus,Siganus vulpinus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2204_014A,Chordata,Actinopterygii,Perciformes,Siganidae,,,Siganus,Siganus punctatissimus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2204_016A,Chordata,Actinopterygii,Perciformes,Priacanthidae,,,Priacanthus,Priacanthus blochii,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2204_017A,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Nasinae,,Naso,Naso vlamingii,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2204_023A,Chordata,Actinopterygii,Labriformes,Scaridae,,,Scarus,Scarus tricolor,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_001A,Chordata,Actinopterygii,Perciformes,Priacanthidae,,,Priacanthus,Priacanthus blochii,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_003A,Chordata,Actinopterygii,Labriformes,Labridae,,,Oxycheilinus,Oxycheilinus arenatus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_004A,Chordata,Actinopterygii,Spariformes,Nemipteridae,,,Parascolopsis,Parascolopsis eriomma,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_005A,Chordata,Actinopterygii,Scombriformes,Scombridae,Scombrinae,,Gymnosarda,Gymnosarda unicolor,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_006A,Chordata,Actinopterygii,Carangiformes,Carangidae,Caranginae,,Alectis,Alectis ciliaris,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_009A,Chordata,Actinopterygii,Perciformes,Serranidae,Epinephelinae,,Cephalopholis,Cephalopholis polleni,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_010A,Chordata,Actinopterygii,Perciformes,Serranidae,Anthiadinae,,Odontanthias,Odontanthias chrysostictus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_012A,Chordata,Actinopterygii,Perciformes,Serranidae,Serraninae,,Chelidoperca,Chelidoperca santosi,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_013A,Chordata,Actinopterygii,Perciformes,Lutjanidae,Etelinae,,Pristipomoides,Pristipomoides auricilla,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_014A,Chordata,Actinopterygii,Perciformes,Symphysanodontidae,,,Cymatognathus,Cymatognathus aureolateralis,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,Cymatognathus aureolateralis
FDP_GOVG_2207_014B,Chordata,Actinopterygii,Perciformes,Symphysanodontidae,,,Cymatognathus,Cymatognathus aureolateralis,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,Cymatognathus aureolateralis
FDP_GOVG_2207_015A,Chordata,Actinopterygii,Spariformes,Nemipteridae,,,Nemipterus,Nemipterus furcosus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_016A,Chordata,Actinopterygii,Perciformes,Lutjanidae,Etelinae,,Etelis,Etelis coruscans,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_017A,Chordata,Actinopterygii,Scombriformes,Ariommatidae,,,Ariomma,Ariomma brevimanum,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_018A,Chordata,Actinopterygii,Perciformes,Lutjanidae,Etelinae,,Pristipomoides,Pristipomoides filamentosus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_019A,Chordata,Actinopterygii,Perciformes,Malacanthidae,Malacanthinae,,Malacanthus,Malacanthus latovittatus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_020A,Chordata,Actinopterygii,Perciformes,Lutjanidae,Etelinae,,Etelis,Etelis radiosus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_023A,Chordata,Actinopterygii,Perciformes,Mullidae,,,Parupeneus,Parupeneus pleurostigma,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_025A,Chordata,Actinopterygii,Tetraodontiformes,Balistidae,,,Balistapus,Balistapus undulatus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_031A,Chordata,Actinopterygii,Acanthuriformes,Emmelichthyidae,,,Emmelichthys,Emmelichthys struhsakeri,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_033A,Chordata,Actinopterygii,Spariformes,Nemipteridae,,,Nemipterus,Nemipterus balinensoides,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_034A,Chordata,Actinopterygii,Perciformes,Priacanthidae,,,Priacanthus,Priacanthus tayenus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_036A,Chordata,Actinopterygii,Carangiformes,Carangidae,Caranginae,,Caranx,Caranx sexfasciatus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_037A,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Acanthurinae,,Acanthurus,Acanthurus olivaceus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
FDP_GOVG_2207_038A,Chordata,Actinopterygii,Acanthuriformes,Acanthuridae,Nasinae,,Naso,Naso lituratus,,Maybelle A Fortaleza,mafortaleza@up.edu.ph,,
